-5.000000	1.000000
-4.500000	1.000000
-4.000000	0.998800
-3.500000	0.992000
-3.000000	0.983200
-2.500000	0.964800
-2.000000	0.928600
-1.500000	0.871200
-1.000000	0.792800
-0.500000	0.693600
0.000000	0.585800
0.500000	0.474200
1.000000	0.371800
1.500000	0.272400
2.000000	0.199000
2.500000	0.139000
3.000000	0.095000
3.500000	0.062200
4.000000	0.034800
4.500000	0.021600
5.000000	0.012000
5.500000	0.006400
6.000000	0.003600
6.500000	0.002000
7.000000	0.001000
7.500000	0.000800
8.000000	0.000200
8.500000	0.000000
