-4.000000	1.000000
-3.500000	1.000000
-3.000000	1.000000
-2.500000	1.000000
-2.000000	1.000000
-1.500000	1.000000
-1.000000	1.000000
-0.500000	0.998800
0.000000	0.997200
0.500000	0.992000
1.000000	0.972400
1.500000	0.932800
2.000000	0.857600
2.500000	0.734200
3.000000	0.580800
3.500000	0.426200
4.000000	0.289400
4.500000	0.176400
5.000000	0.094400
5.500000	0.051800
6.000000	0.022800
6.500000	0.008000
7.000000	0.002600
7.500000	0.000400
8.000000	0.000200
8.500000	0.000200
9.000000	0.000200
9.500000	0.000000
